2020/05/25 14:07:06 customer_id=10000098 running_id=2669203 kind=026 resultStatus=0
2020/05/25 14:07:06 customer_id=10000098 running_id=2669203 kind=283 resultStatus=0
2020/05/25 14:27:49 customer_id=10000097 running_id=2669182 kind=026 resultStatus=0
2020/05/25 14:27:49 customer_id=10000097 running_id=2669182 kind=283 resultStatus=0
2020/05/25 14:27:49 customer_id=10000097 running_id=2669200 kind=283 resultStatus=0
2020/05/25 15:45:00 customer_id=10000100 running_id=2669326 kind=026 resultStatus=0
2020/05/25 15:45:00 customer_id=10000100 running_id=2669326 kind=283 resultStatus=0
2020/05/25 15:45:29 customer_id=10000099 running_id=2669325 kind=026 resultStatus=0
2020/05/25 15:45:29 customer_id=10000099 running_id=2669325 kind=283 resultStatus=0
2020/05/25 15:48:28 customer_id=10000102 running_id=2669328 kind=026 resultStatus=0
2020/05/25 15:48:28 customer_id=10000102 running_id=2669328 kind=283 resultStatus=0
2020/05/25 15:48:35 customer_id=10000101 running_id=2669327 kind=026 resultStatus=0
2020/05/25 15:48:35 customer_id=10000101 running_id=2669327 kind=283 resultStatus=0
2020/05/25 20:29:46 customer_id=10000109 running_id=2669470 kind=026 resultStatus=0
2020/05/25 20:29:46 customer_id=10000109 running_id=2669470 kind=283 resultStatus=0
2020/05/25 20:35:52 customer_id=10000110 running_id=2669481 kind=026 resultStatus=0
2020/05/25 20:35:52 customer_id=10000110 running_id=2669481 kind=283 resultStatus=0
2020/05/26 08:37:53 customer_id=10000104 running_id=2669363 kind=026 resultStatus=0
2020/05/26 08:37:53 customer_id=10000104 running_id=2669363 kind=283 resultStatus=0
2020/05/26 09:10:56 customer_id=10000112 running_id=2669558 kind=026 resultStatus=0
2020/05/26 09:10:56 customer_id=10000112 running_id=2669558 kind=283 resultStatus=0
2020/05/26 09:18:17 customer_id=10000108 running_id=2669560 kind=026 resultStatus=0
2020/05/26 09:18:17 customer_id=10000108 running_id=2669560 kind=283 resultStatus=0
2020/05/26 09:22:47 customer_id=10000116 running_id=2669568 kind=026 resultStatus=0
2020/05/26 09:22:47 customer_id=10000116 running_id=2669568 kind=283 resultStatus=0
2020/05/26 09:28:14 customer_id=10000103 running_id=2669366 kind=026 resultStatus=0
2020/05/26 09:28:14 customer_id=10000103 running_id=2669366 kind=283 resultStatus=0
2020/05/26 10:03:41 customer_id=10000067 running_id=2667335 kind=026 resultStatus=0
2020/05/26 10:03:41 customer_id=10000067 running_id=2667335 kind=283 resultStatus=0
2020/05/26 12:09:20 customer_id=10000042 running_id=2666771 kind=026 resultStatus=0
2020/05/26 12:09:20 customer_id=10000042 running_id=2666771 kind=283 resultStatus=0
2020/05/26 12:30:20 customer_id=10000119 running_id=2669673 kind=026 resultStatus=0
2020/05/26 12:30:20 customer_id=10000119 running_id=2669673 kind=283 resultStatus=0
2020/05/26 13:09:35 customer_id=10000073 running_id=2667368 kind=026 resultStatus=0
2020/05/26 13:09:35 customer_id=10000073 running_id=2667368 kind=283 resultStatus=0
2020/05/26 13:59:28 customer_id=10000120 running_id=2669738 kind=026 resultStatus=0
2020/05/26 13:59:28 customer_id=10000120 running_id=2669738 kind=283 resultStatus=0
2020/05/26 14:04:29 customer_id=10000121 running_id=2669753 kind=026 resultStatus=0
2020/05/26 14:04:29 customer_id=10000121 running_id=2669753 kind=283 resultStatus=0
2020/05/26 15:36:28 customer_id=10000092 running_id=2669836 kind=026 resultStatus=0
2020/05/26 15:36:28 customer_id=10000092 running_id=2669836 kind=283 resultStatus=0
2020/05/26 17:22:39 customer_id=10000076 running_id=2667489 kind=026 resultStatus=0
2020/05/26 17:22:39 customer_id=10000076 running_id=2667489 kind=283 resultStatus=0
2020/05/26 18:21:53 customer_id=10000031 running_id=2666626 kind=026 resultStatus=0
2020/05/26 18:21:53 customer_id=10000031 running_id=2666626 kind=283 resultStatus=0
2020/05/26 18:29:57 customer_id=10000122 running_id=2669997 kind=026 resultStatus=0
2020/05/26 18:29:57 customer_id=10000122 running_id=2669997 kind=283 resultStatus=0
2020/05/26 20:34:37 customer_id=10000113 running_id=2669559 kind=026 resultStatus=0
2020/05/26 20:34:37 customer_id=10000113 running_id=2669559 kind=283 resultStatus=0
2020/05/27 11:02:21 customer_id=10000024 running_id=2666570 kind=026 resultStatus=0
2020/05/27 11:02:21 customer_id=10000024 running_id=2666570 kind=283 resultStatus=0
2020/05/27 13:50:45 customer_id=10000018 running_id=2669192 kind=026 resultStatus=0
2020/05/27 13:50:45 customer_id=10000018 running_id=2669192 kind=283 resultStatus=0
2020/05/27 14:52:48 customer_id=10000055 running_id=2667074 kind=026 resultStatus=0
2020/05/27 14:52:48 customer_id=10000055 running_id=2667074 kind=283 resultStatus=0
2020/05/27 15:56:40 customer_id=10000127 running_id=2670292 kind=026 resultStatus=0
2020/05/27 15:56:40 customer_id=10000127 running_id=2670292 kind=283 resultStatus=0
2020/05/27 15:58:32 customer_id=10000129 running_id=2670295 kind=026 resultStatus=0
2020/05/27 15:58:33 customer_id=10000129 running_id=2670295 kind=283 resultStatus=0
2020/05/27 16:03:36 customer_id=10000126 running_id=2670296 kind=026 resultStatus=0
2020/05/27 16:03:36 customer_id=10000126 running_id=2670296 kind=283 resultStatus=0
2020/05/27 16:54:17 customer_id=10000086 running_id=2669603 kind=026 resultStatus=0
2020/05/27 16:54:17 customer_id=10000086 running_id=2669603 kind=283 resultStatus=0
2020/05/27 17:25:18 customer_id=10000131 running_id=2670329 kind=026 resultStatus=0
2020/05/27 17:25:18 customer_id=10000131 running_id=2670329 kind=283 resultStatus=0
2020/05/27 17:36:58 customer_id=10000107 running_id=2669433 kind=026 resultStatus=0
2020/05/27 17:36:58 customer_id=10000107 running_id=2669433 kind=283 resultStatus=0
2020/05/27 17:38:02 customer_id=10000021 running_id=2666545 kind=026 resultStatus=0
2020/05/27 17:38:03 customer_id=10000021 running_id=2666545 kind=283 resultStatus=0
2020/05/27 18:29:04 customer_id=10000132 running_id=2670370 kind=026 resultStatus=0
2020/05/27 18:29:04 customer_id=10000132 running_id=2670370 kind=283 resultStatus=0
2020/05/27 18:29:18 customer_id=10000133 running_id=2670376 kind=026 resultStatus=0
2020/05/27 18:29:18 customer_id=10000133 running_id=2670376 kind=283 resultStatus=0
2020/05/27 18:32:36 customer_id=10000134 running_id=2670380 kind=026 resultStatus=0
2020/05/27 18:32:36 customer_id=10000134 running_id=2670380 kind=283 resultStatus=0
2020/05/28 08:55:41 customer_id=10000124 running_id=2670180 kind=026 resultStatus=0
2020/05/28 08:55:41 customer_id=10000124 running_id=2670180 kind=283 resultStatus=0
2020/05/28 08:57:46 customer_id=10000115 running_id=2669608 kind=026 resultStatus=0
2020/05/28 08:57:46 customer_id=10000115 running_id=2669608 kind=283 resultStatus=0
2020/05/28 09:33:29 customer_id=10000003 running_id= kind=026 resultStatus=1
2020/05/28 09:58:51 customer_id=10000111 running_id=2669557 kind=026 resultStatus=0
2020/05/28 09:58:51 customer_id=10000111 running_id=2669557 kind=283 resultStatus=0
2020/05/28 10:15:13 customer_id=10000138 running_id=2670500 kind=026 resultStatus=0
2020/05/28 10:15:13 customer_id=10000138 running_id=2670500 kind=283 resultStatus=0
2020/05/28 12:26:33 customer_id=10000059 running_id=2667245 kind=026 resultStatus=0
2020/05/28 12:26:33 customer_id=10000059 running_id=2667245 kind=283 resultStatus=0
2020/05/28 12:58:05 customer_id=10000061 running_id=2667264 kind=026 resultStatus=0
2020/05/28 12:58:05 customer_id=10000061 running_id=2667264 kind=283 resultStatus=0
